Date,Afghanistan,Albania,Algeria
2007-06-30,296.84703453453454,294.43716119260205,221.1642199824715
2007-07-31,297.97716466466466,297.17570153061223,221.66060473269064
2007-08-31,296.65437312312315,296.36627072704084,221.79601226993864
2007-09-30,292.14495745745745,290.12420280612247,219.670574057844
2007-10-31,283.9136949449449,286.56752232142856,215.5966622845457
2007-11-30,281.9243305805806,280.7455357142857,210.08411846333627
2007-12-31,272.3033033033033,276.54998405612247,206.6406478235466
2008-01-31,266.080736986987,277.3235212053572,205.60979038854805
2008-02-29,270.80370995996,278.20551658163265,208.37238898626936
2008-03-31,282.8806306306306,281.6027582908163,211.42670902716915
2008-04-30,287.004004004004,284.5865154655612,214.8679155711364
2008-05-31,293.49045920920923,289.31859853316325,218.078567776804
2008-06-30,298.51194944944945,293.37779017857144,220.88670391469472
2008-07-31,299.31850600600603,295.6526028380102,222.50754089979552
2008-08-31,297.11542792792795,296.3990154655612,221.6258399065148
2008-09-30,292.7838150650651,290.5927933673469,219.8893514460999
2008-10-31,287.47062687687685,287.27778220663265,215.3242769500438
2008-11-30,279.09015265265265,283.4636479591837,209.773115687993
2008-12-31,274.2423048048048,278.87908561862247,206.18094507741748
2009-01-31,272.3151901901902,277.8282445790816,206.45353125912945
2009-02-28,275.5317817817818,276.88062021683675,208.2885078878177
2009-03-31,281.3586711711712,279.9663384885204,211.46121822962317
2009-04-30,283.7969844844845,285.6910475127551,213.2639862693544
2009-05-31,291.6219657157157,290.4017458545918,217.63234005258545
2009-06-30,293.5572447447448,292.41605548469386,221.21563686824425
2009-07-31,297.9818255755756,295.73022959183675,222.58315074496056
2009-08-31,297.8187562562563,296.2471898915816,221.6684195150453
2009-09-30,292.93105605605604,292.4490593112245,218.5812153082092
2009-10-31,284.96127377377377,286.5027104591837,215.3336802512416
2009-11-30,279.0733858858859,282.8611288265306,210.2309925503944
2009-12-31,273.40950325325326,280.71476403061223,208.64395267309376
2010-01-31,274.4354354354354,277.5754544005102,207.73878907391176
2010-02-28,275.0312187187187,278.47446986607144,211.02643879637745
2010-03-31,282.65277777777777,280.793626434949,212.81989482909728
2010-04-30,288.18706206206207,285.5277423469388,216.17197998831435
2010-05-31,292.450513013013,288.9539221938776,217.78297546012269
2010-06-30,295.94544544544544,292.724928252551,221.362091002045
2010-07-31,298.1448636136136,295.4318399234694,222.44117002629272
2010-08-31,296.6823385885886,296.2881855867347,222.0335962605901
2010-09-30,291.53372122122124,290.9080237563776,219.37569383581652
2010-10-31,288.0975975975976,286.05775669642856,215.62507303534912
